epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.357,1.52027,2.53898,1.22623,0.78427,0.67674,0.71811,0.34418,1.67228,1.62441,1.34055,0.00332817,0.00332817,0.00332817
2,216.609,1.48843,1.56708,1.21525,0.84905,0.61533,0.70906,0.45967,1.2971,1.26333,1.18208,0.00657906,0.00657906,0.00657906
3,314.189,1.5433,1.39427,1.26023,0.80879,0.62017,0.69915,0.40574,1.56706,1.23467,1.33005,0.00974746,0.00974746,0.00974746
4,414.992,1.55729,1.32021,1.28358,0.81936,0.61731,0.71148,0.43986,1.52977,1.27782,1.28694,0.00962875,0.00962875,0.00962875
5,516.593,1.50831,1.22134,1.26789,0.8115,0.77065,0.81379,0.56507,1.10465,0.90459,1.11823,0.009505,0.009505,0.009505
6,618.279,1.45514,1.13962,1.2431,0.73913,0.68547,0.72328,0.50763,1.25527,1.16002,1.18688,0.00938125,0.00938125,0.00938125
7,720.263,1.43391,1.08279,1.23253,0.8248,0.77383,0.83261,0.58307,1.15863,0.78762,1.09011,0.0092575,0.0092575,0.0092575
8,821.535,1.4116,1.04791,1.21737,0.8476,0.69162,0.7593,0.53583,1.13549,1.05456,1.13326,0.00913375,0.00913375,0.00913375
9,923.388,1.3899,1.02462,1.2118,0.80677,0.81711,0.83876,0.56765,1.27402,0.77165,1.1253,0.00901,0.00901,0.00901
10,1024.43,1.37159,0.99535,1.19506,0.83096,0.75984,0.82066,0.57282,1.14882,0.80208,1.09887,0.00888625,0.00888625,0.00888625
11,1126.17,1.36314,0.97745,1.18839,0.7517,0.83471,0.82426,0.59473,1.07892,0.76832,1.06052,0.0087625,0.0087625,0.0087625
12,1227.92,1.3532,0.96471,1.18471,0.79213,0.80871,0.83342,0.58606,1.12698,0.71748,1.08084,0.00863875,0.00863875,0.00863875
13,1323.64,1.3314,0.94297,1.17648,0.80209,0.79604,0.83262,0.59131,1.08047,0.73439,1.05819,0.008515,0.008515,0.008515
14,1421.78,1.32931,0.93548,1.17492,0.84693,0.78244,0.83819,0.55884,1.29055,0.76237,1.12744,0.00839125,0.00839125,0.00839125
15,1521.58,1.32594,0.9282,1.17517,0.83953,0.74058,0.82392,0.57487,1.24344,0.76297,1.12462,0.0082675,0.0082675,0.0082675
16,1620.14,1.31406,0.91529,1.17086,0.79541,0.83234,0.84556,0.61773,1.04858,0.68052,1.05163,0.00814375,0.00814375,0.00814375
17,1717.43,1.30242,0.8978,1.1611,0.8168,0.78939,0.83957,0.60933,1.08225,0.68357,1.06598,0.00802,0.00802,0.00802
18,1815.97,1.30229,0.90826,1.15824,0.82044,0.80728,0.85339,0.62519,1.06168,0.65647,1.04891,0.00789625,0.00789625,0.00789625
19,1913.28,1.29807,0.88851,1.15438,0.80794,0.80951,0.85267,0.62015,1.03191,0.6454,1.03866,0.0077725,0.0077725,0.0077725
20,2011.62,1.28832,0.88232,1.1496,0.78173,0.83622,0.8387,0.59679,1.132,0.6788,1.06236,0.00764875,0.00764875,0.00764875
21,2109.78,1.28266,0.88865,1.14454,0.83812,0.78926,0.83988,0.61821,1.00298,0.6757,1.03729,0.007525,0.007525,0.007525
22,2207.12,1.27129,0.87412,1.1379,0.79728,0.82357,0.84794,0.61881,1.0668,0.6626,1.04741,0.00740125,0.00740125,0.00740125
23,2305.07,1.2719,0.8786,1.13774,0.80934,0.81962,0.85302,0.61087,1.06868,0.66129,1.05667,0.0072775,0.0072775,0.0072775
24,2404.4,1.26666,0.85766,1.13848,0.81271,0.82379,0.85458,0.6158,1.08166,0.63952,1.05291,0.00715375,0.00715375,0.00715375
25,2502.64,1.25688,0.86204,1.13613,0.84144,0.80215,0.86073,0.63827,1.00405,0.62342,1.03208,0.00703,0.00703,0.00703
26,2600.96,1.26383,0.85774,1.13876,0.80765,0.83077,0.85084,0.61879,1.01936,0.63538,1.03024,0.00690625,0.00690625,0.00690625
27,2698.96,1.24897,0.84788,1.13052,0.80467,0.82745,0.85052,0.62127,1.03545,0.63188,1.03793,0.0067825,0.0067825,0.0067825
