epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2347,1.47772,2.04265,1.15246,0.82209,0.73529,0.8097,0.49828,1.29867,1.06744,1.06273,0.000554127,0.000554127,0.000554127
2,132.123,1.44232,1.26919,1.14576,0.77115,0.61189,0.65646,0.32253,1.69916,1.47618,1.27383,0.00106585,0.00106585,0.00106585
3,189.17,1.4402,1.11341,1.15553,0.84221,0.57169,0.67086,0.32743,1.7934,1.44262,1.33846,0.00153356,0.00153356,0.00153356
4,248.432,1.39419,1.02557,1.14387,0.80612,0.82103,0.85137,0.5827,1.13534,0.83339,1.05415,0.00146896,0.00146896,0.00146896
5,308.211,1.36265,0.97724,1.1334,0.85749,0.80443,0.86355,0.57874,1.26854,0.77079,1.07412,0.00140295,0.00140295,0.00140295
6,366.542,1.33677,0.92285,1.11614,0.82405,0.8038,0.85316,0.59732,1.11332,0.75845,1.0575,0.00133693,0.00133693,0.00133693
7,425.294,1.31057,0.90351,1.10812,0.82568,0.79435,0.86054,0.57688,1.1687,0.74343,1.05278,0.00127092,0.00127092,0.00127092
8,485.642,1.2913,0.87883,1.09906,0.7917,0.84397,0.86263,0.58528,1.15957,0.70698,1.03934,0.00120491,0.00120491,0.00120491
9,546.083,1.28125,0.85512,1.08682,0.80174,0.85293,0.85211,0.59662,1.07833,0.69975,1.01646,0.00113889,0.00113889,0.00113889
10,604.552,1.26311,0.83506,1.08333,0.79682,0.8422,0.85623,0.62357,1.01401,0.68445,0.99691,0.00107288,0.00107288,0.00107288
11,662.065,1.25737,0.81704,1.07516,0.8534,0.83007,0.87577,0.64499,0.97405,0.64912,1.00894,0.00100687,0.00100687,0.00100687
12,721.727,1.23929,0.79871,1.07167,0.84727,0.81216,0.87515,0.65196,0.96884,0.65993,1.01378,0.000940855,0.000940855,0.000940855
13,778.415,1.22716,0.79673,1.06707,0.8176,0.82492,0.87123,0.62178,1.07185,0.65116,1.00111,0.000874842,0.000874842,0.000874842
14,836.9,1.21692,0.78268,1.06058,0.78283,0.84511,0.82735,0.5954,1.05654,0.68224,1.00958,0.000808828,0.000808828,0.000808828
15,894.591,1.19928,0.77026,1.05482,0.77251,0.86938,0.8559,0.63614,0.97483,0.64623,0.97543,0.000742815,0.000742815,0.000742815
16,981.344,1.20547,0.7433,1.06913,0.83018,0.83519,0.87861,0.63704,1.05094,0.62109,0.9973,0.000676802,0.000676802,0.000676802
17,1036.9,1.18813,0.73287,1.06661,0.81434,0.85716,0.87171,0.65754,0.93511,0.61464,0.97463,0.000610789,0.000610789,0.000610789
18,1091.78,1.18378,0.71507,1.06369,0.76401,0.88954,0.87283,0.65457,0.94181,0.64203,0.98535,0.000544776,0.000544776,0.000544776
19,1149.9,1.16633,0.71406,1.058,0.78326,0.8702,0.86461,0.6499,0.92486,0.61609,0.96938,0.000478762,0.000478762,0.000478762
20,1206.87,1.14904,0.69247,1.04265,0.78734,0.86546,0.86726,0.65587,0.90805,0.61312,0.97221,0.000412749,0.000412749,0.000412749
21,1263.26,1.13882,0.68352,1.03758,0.8175,0.82744,0.85756,0.64884,0.9305,0.61172,0.97292,0.000346736,0.000346736,0.000346736
22,1322.02,1.1286,0.67711,1.03816,0.82385,0.83326,0.87084,0.66344,0.90025,0.59701,0.9729,0.000280723,0.000280723,0.000280723
23,1378.99,1.11987,0.66388,1.03327,0.7775,0.87364,0.8631,0.64806,0.94482,0.61005,0.97983,0.00021471,0.00021471,0.00021471
24,1435.54,1.10212,0.65008,1.02717,0.78714,0.88933,0.86361,0.66048,0.88109,0.59565,0.9662,0.000148696,0.000148696,0.000148696
25,1493.7,1.08624,0.63863,1.01812,0.78929,0.87759,0.86404,0.66705,0.87365,0.58299,0.9621,8.26832e-05,8.26832e-05,8.26832e-05
