epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5904,1.66526,2.87409,1.14096,0.00712,0.40588,0.20021,0.12124,1.09736,3.32083,0.97047,0.000542114,0.000542114,0.000542114
2,22.7039,1.5654,1.67232,1.10202,0.00938,0.70278,0.60471,0.34779,1.30365,2.80328,1.15705,0.0010842,0.0010842,0.0010842
3,30.4576,1.58929,1.51366,1.13508,0.82207,0.50353,0.72586,0.48761,1.14816,1.91617,1.04937,0.00161252,0.00161252,0.00161252
4,37.6205,1.58017,1.42945,1.13006,0.6869,0.44622,0.48742,0.31072,1.56618,1.92682,1.24555,0.00160511,0.00160511,0.00160511
5,45.0951,1.55134,1.34236,1.12652,0.76633,0.68958,0.75352,0.4359,1.51296,1.16531,1.20877,0.00158448,0.00158448,0.00158448
6,52.478,1.51582,1.23722,1.13528,0.71523,0.64767,0.69874,0.44315,1.25582,1.47847,1.11728,0.00156385,0.00156385,0.00156385
7,59.9689,1.51487,1.2453,1.11589,0.85185,0.61894,0.73092,0.49348,1.18426,1.00782,1.10798,0.00154323,0.00154323,0.00154323
8,67.5537,1.4854,1.14902,1.10775,0.72263,0.72055,0.78296,0.53761,1.11825,1.09632,1.06644,0.0015226,0.0015226,0.0015226
9,75.0898,1.50127,1.11047,1.13242,0.77939,0.81493,0.86982,0.6082,1.07757,0.86178,1.05008,0.00150197,0.00150197,0.00150197
10,82.3547,1.45854,1.08043,1.09607,0.92039,0.77624,0.90194,0.61971,1.17055,0.81033,1.06962,0.00148134,0.00148134,0.00148134
11,89.8808,1.43857,1.04092,1.09873,0.80454,0.80227,0.89393,0.60846,1.15608,0.89606,1.07108,0.00146071,0.00146071,0.00146071
12,97.3867,1.44473,1.04043,1.1009,0.75133,0.74832,0.81317,0.55236,1.15097,0.84617,1.06411,0.00144008,0.00144008,0.00144008
13,104.971,1.50135,1.03858,1.13555,0.8652,0.67839,0.79744,0.49822,1.29205,0.87133,1.15003,0.00141945,0.00141945,0.00141945
14,112.152,1.45142,0.99748,1.10743,0.84594,0.86097,0.91227,0.60669,1.12961,0.75195,1.07003,0.00139882,0.00139882,0.00139882
15,119.254,1.45079,0.99094,1.1098,0.82337,0.74679,0.85133,0.62497,1.02231,0.77762,1.02996,0.00137819,0.00137819,0.00137819
16,126.926,1.43305,0.97337,1.10559,0.88877,0.59852,0.69912,0.47631,1.21051,1.14287,1.166,0.00135756,0.00135756,0.00135756
17,134.421,1.41387,0.93848,1.09434,0.78429,0.84178,0.88002,0.64748,0.99651,0.75366,1.01394,0.00133693,0.00133693,0.00133693
18,142.063,1.39627,0.9257,1.09465,0.88888,0.82842,0.92107,0.65794,1.05133,0.7132,1.03667,0.0013163,0.0013163,0.0013163
19,149.454,1.39438,0.89227,1.09155,0.88732,0.83771,0.92643,0.64133,1.10893,0.70268,1.06015,0.00129568,0.00129568,0.00129568
20,156.797,1.40461,0.93359,1.08562,0.86428,0.70434,0.85274,0.52952,1.38222,0.81062,1.13195,0.00127505,0.00127505,0.00127505
21,163.816,1.39616,0.89292,1.08726,0.75086,0.84772,0.87089,0.58002,1.18864,0.77548,1.08521,0.00125442,0.00125442,0.00125442
22,171.453,1.40243,0.88856,1.09912,0.9376,0.72173,0.86046,0.57396,1.16795,0.73845,1.07566,0.00123379,0.00123379,0.00123379
23,178.549,1.41059,0.90728,1.10375,0.78163,0.84107,0.88576,0.64243,1.03437,0.73462,1.01849,0.00121316,0.00121316,0.00121316
24,186.126,1.38323,0.89337,1.08053,0.86288,0.77119,0.87597,0.62411,1.06948,0.73089,1.04339,0.00119253,0.00119253,0.00119253
25,193.283,1.34358,0.87286,1.08142,0.83754,0.827,0.91084,0.66738,1.01632,0.68455,1.02343,0.0011719,0.0011719,0.0011719
26,200.562,1.3345,0.82918,1.07676,0.90299,0.785,0.89315,0.65646,1.05036,0.75586,1.0341,0.00115127,0.00115127,0.00115127
27,207.881,1.37057,0.84545,1.07305,0.85301,0.83107,0.91354,0.64656,1.04309,0.66462,1.03131,0.00113064,0.00113064,0.00113064
28,216.12,1.33924,0.85747,1.08828,0.82553,0.846,0.87019,0.62464,1.04584,0.7564,1.04989,0.00111001,0.00111001,0.00111001
29,224.518,1.3286,0.82581,1.05574,0.88769,0.84492,0.91777,0.68881,0.95941,0.64974,1.00106,0.00108938,0.00108938,0.00108938
30,232.583,1.35182,0.82202,1.08356,0.88769,0.85123,0.93118,0.66666,1.01923,0.66639,1.0234,0.00106876,0.00106876,0.00106876
31,240.685,1.32484,0.80322,1.07482,0.92497,0.86337,0.94834,0.6945,1.0099,0.64123,1.02282,0.00104813,0.00104813,0.00104813
32,248.925,1.32099,0.81052,1.06686,0.87577,0.85694,0.91778,0.66973,0.9753,0.6918,1.01409,0.0010275,0.0010275,0.0010275
33,257.126,1.3393,0.81863,1.06379,0.89085,0.78096,0.89371,0.62412,1.08683,0.68681,1.04929,0.00100687,0.00100687,0.00100687
34,265.152,1.30596,0.77954,1.06136,0.76498,0.95758,0.93812,0.67081,1.06401,0.65572,1.02537,0.000986239,0.000986239,0.000986239
35,273.027,1.31431,0.79735,1.06253,0.83859,0.88139,0.94079,0.69726,0.95584,0.62093,1.0027,0.00096561,0.00096561,0.00096561
36,281.205,1.31496,0.79197,1.06924,0.92245,0.79299,0.91055,0.55162,1.42556,0.71441,1.18651,0.000944981,0.000944981,0.000944981
37,289.828,1.30559,0.80291,1.06142,0.90136,0.76389,0.89594,0.64221,1.07432,0.69521,1.03261,0.000924352,0.000924352,0.000924352
38,298.826,1.3264,0.81022,1.07146,0.85345,0.88526,0.93086,0.70626,0.87647,0.60014,0.97622,0.000903722,0.000903722,0.000903722
39,306.238,1.28633,0.78531,1.05482,0.84499,0.89588,0.94723,0.68391,0.98741,0.62047,0.99872,0.000883093,0.000883093,0.000883093
40,313.596,1.27932,0.77306,1.05995,0.88862,0.87437,0.94016,0.65726,1.06265,0.60795,1.04538,0.000862464,0.000862464,0.000862464
